concentration,drug,experiment,movements
0,Control,1,281
0,Control,1,275
0,Control,1,244
0,Control,1,276
0,Control,1,255
0,Control,1,250
0,Control,1,265
0,Control,1,259
0,Control,1,279
0,Control,1,282
0,Control,1,262
0,Control,1,261
0,Control,1,282
0,Control,1,267
0,Control,1,277
0,Control,1,269
0,Control,1,263
0,Control,1,263
0,Control,1,267
0,Control,1,262
0,Control,1,258
0,Control,1,274
0,Control,1,292
0,Control,1,298
0,Control,1,276
0,Control,1,289
0,Control,1,269
0,Control,1,281
0,Control,1,268
0,Control,1,273
0,Control,1,261
0,Control,1,242
0.5,Drug 1,1,301
0.5,Drug 1,1,292
0.5,Drug 1,1,236
0.5,Drug 1,1,281
0.5,Drug 1,1,270
0.5,Drug 1,1,284
0.5,Drug 1,1,275
0.5,Drug 1,1,275
0.5,Drug 1,1,280
0.5,Drug 1,1,287
0.5,Drug 1,1,277
0.5,Drug 1,1,281
0.5,Drug 1,1,279
0.5,Drug 1,1,272
0.5,Drug 1,1,284
0.5,Drug 1,1,230
0.5,Drug 1,1,284
0.5,Drug 1,1,258
0.5,Drug 1,1,256
0.5,Drug 1,1,268
0.5,Drug 1,1,269
0.5,Drug 1,1,270
0.5,Drug 1,1,269
0.5,Drug 1,1,260
0.5,Drug 1,1,238
0.5,Drug 1,1,277
0.5,Drug 1,1,242
0.5,Drug 1,1,258
1,Drug 1,1,233
1,Drug 1,1,227
1,Drug 1,1,200
1,Drug 1,1,221
1,Drug 1,1,151
1,Drug 1,1,119
1,Drug 1,1,197
1,Drug 1,1,252
1,Drug 1,1,193
1,Drug 1,1,183
1,Drug 1,1,226
1,Drug 1,1,262
1,Drug 1,1,182
1,Drug 1,1,205
1,Drug 1,1,232
1,Drug 1,1,249
1,Drug 1,1,222
1,Drug 1,1,173
1,Drug 1,1,211
1,Drug 1,1,219
1,Drug 1,1,123
1,Drug 1,1,207
1,Drug 1,1,226
1,Drug 1,1,215
1,Drug 1,1,244
1,Drug 1,1,220
1,Drug 1,1,207
1,Drug 1,1,203
1,Drug 1,1,228
1,Drug 1,1,230
1,Drug 1,1,171
1,Drug 1,1,219
10,Drug 1,1,32
10,Drug 1,1,166
10,Drug 1,1,5
10,Drug 1,1,67
10,Drug 1,1,114
10,Drug 1,1,54
10,Drug 1,1,47
10,Drug 1,1,143
10,Drug 1,1,59
10,Drug 1,1,155
10,Drug 1,1,113
10,Drug 1,1,87
10,Drug 1,1,135
10,Drug 1,1,101
10,Drug 1,1,58
10,Drug 1,1,63
10,Drug 1,1,36
10,Drug 1,1,83
10,Drug 1,1,103
10,Drug 1,1,87
10,Drug 1,1,54
10,Drug 1,1,62
10,Drug 1,1,37
10,Drug 1,1,91
10,Drug 1,1,151
25,Drug 1,1,17
25,Drug 1,1,8
25,Drug 1,1,8
25,Drug 1,1,6
25,Drug 1,1,1
25,Drug 1,1,9
25,Drug 1,1,103
25,Drug 1,1,10
25,Drug 1,1,44
25,Drug 1,1,59
25,Drug 1,1,87
25,Drug 1,1,1
25,Drug 1,1,1
25,Drug 1,1,2
25,Drug 1,1,8
25,Drug 1,1,0
0,Control,2,263
0,Control,2,270
0,Control,2,271
0,Control,2,275
0,Control,2,271
0,Control,2,277
0,Control,2,274
0,Control,2,287
0,Control,2,284
0,Control,2,280
0,Control,2,286
0,Control,2,274
0,Control,2,265
0,Control,2,264
0,Control,2,292
0,Control,2,270
0,Control,2,236
0,Control,2,266
0,Control,2,257
0,Control,2,274
0,Control,2,285
0,Control,2,269
0.5,Drug 1,2,268
0.5,Drug 1,2,282
0.5,Drug 1,2,276
0.5,Drug 1,2,269
0.5,Drug 1,2,197
0.5,Drug 1,2,229
0.5,Drug 1,2,242
0.5,Drug 1,2,264
0.5,Drug 1,2,280
0.5,Drug 1,2,264
0.5,Drug 1,2,280
1,Drug 1,2,189
1,Drug 1,2,169
1,Drug 1,2,236
1,Drug 1,2,190
1,Drug 1,2,160
1,Drug 1,2,149
1,Drug 1,2,187
1,Drug 1,2,173
1,Drug 1,2,172
1,Drug 1,2,225
1,Drug 1,2,227
1,Drug 1,2,176
1,Drug 1,2,219
10,Drug 1,2,26
10,Drug 1,2,48
10,Drug 1,2,4
10,Drug 1,2,12
10,Drug 1,2,15
10,Drug 1,2,65
10,Drug 1,2,12
10,Drug 1,2,0
10,Drug 1,2,9
10,Drug 1,2,5
0,Control,3,266
0,Control,3,261
0,Control,3,263
0,Control,3,277
0,Control,3,285
0,Control,3,258
0,Control,3,261
0,Control,3,263
0,Control,3,266
0,Control,3,249
0,Control,3,270
0,Control,3,278
0,Control,3,277
0,Control,3,286
0,Control,3,276
0,Control,3,250
0,Control,3,279
0,Control,3,259
0,Control,3,251
0,Control,3,261
0,Control,3,259
0,Control,3,277
0,Control,3,275
0,Control,3,268
0,Control,3,260
0,Control,3,276
0,Control,3,268
1,Drug 2,3,260
1,Drug 2,3,272
1,Drug 2,3,257
1,Drug 2,3,255
1,Drug 2,3,271
1,Drug 2,3,269
1,Drug 2,3,270
1,Drug 2,3,258
1,Drug 2,3,269
1,Drug 2,3,282
1,Drug 2,3,280
